stID;Time;Temperature;Humidity
B4:E6:2D:48:03:41;28.02.2026 19:25:05;24.4;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:07;24.4;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:08;24.5;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:09;24.5;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:10;24.4;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:12;24.4;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:13;24.4;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:14;24.4;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:15;24.4;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:17;24.4;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:18;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:19;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:23;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:24;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:25;24.5;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:26;24.5;33.7
B4:E6:2D:48:03:41;28.02.2026 19:25:28;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:29;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:30;24.4;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:32;24.4;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:33;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:34;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:35;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:37;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:38;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:39;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:41;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:42;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:43;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:44;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:46;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:47;24.5;33.6
B4:E6:2D:48:03:41;28.02.2026 19:25:48;21.3;33.0
B4:E6:2D:48:03:41;28.02.2026 19:25:49;21.3;33.0
B4:E6:2D:48:03:41;28.02.2026 19:25:53;22.0;33.5
B4:E6:2D:48:03:41;28.02.2026 19:25:54;22.0;33.5
B4:E6:2D:48:03:41;28.02.2026 19:25:58;22.4;34.5
B4:E6:2D:48:03:41;28.02.2026 19:25:59;22.4;34.5
B4:E6:2D:48:03:41;28.02.2026 19:26:03;22.6;35.2
B4:E6:2D:48:03:41;28.02.2026 19:26:04;22.6;35.2
B4:E6:2D:48:03:41;28.02.2026 19:26:08;17.9;36.3
B4:E6:2D:48:03:41;28.02.2026 19:26:11;19.2;38.7
B4:E6:2D:48:03:41;28.02.2026 19:26:13;19.2;38.7
B4:E6:2D:48:03:41;28.02.2026 19:26:17;19.7;39.5
B4:E6:2D:48:03:41;28.02.2026 19:26:18;19.7;39.5
B4:E6:2D:48:03:41;28.02.2026 19:26:21;20.3;40.2
B4:E6:2D:48:03:41;28.02.2026 19:26:23;20.3;40.2
B4:E6:2D:48:03:41;28.02.2026 19:26:26;20.5;40.5
B4:E6:2D:48:03:41;28.02.2026 19:26:28;20.5;40.5
B4:E6:2D:48:03:41;28.02.2026 19:26:31;20.9;40.5
B4:E6:2D:48:03:41;28.02.2026 19:26:35;21.2;40.3
B4:E6:2D:48:03:41;28.02.2026 19:26:37;21.2;40.3
B4:E6:2D:48:03:41;28.02.2026 19:26:40;21.4;40.2
