Time;Temperature;Humidity
2026-03-26 20:42:51;11;32
2026-03-26 20:42:52;25;60
2026-03-26 20:42:53;30;51
2026-03-26 20:42:54;22;57
2026-03-26 20:42:55;21;56
2026-03-26 20:42:57;2;91
2026-03-26 20:42:58;23;14
2026-03-26 20:42:59;7;16
2026-03-26 20:43:00;25;39
2026-03-26 20:43:01;20;43
2026-03-26 20:43:02;13;98
2026-03-26 20:43:03;10;22
2026-03-26 20:43:04;30;92
2026-03-26 20:43:05;16;97
2026-03-26 20:43:06;3;99
2026-03-26 20:43:08;1;21
2026-03-26 20:43:09;4;57
2026-03-26 20:43:10;4;77
2026-03-26 20:43:11;20;99
2026-03-26 20:43:12;11;87
2026-03-26 20:43:13;28;41
2026-03-26 20:43:14;25;86
2026-03-26 20:43:15;25;50
2026-03-26 20:43:16;6;78
2026-03-26 20:43:17;19;57
