Time;Temperature;Humidity
2026-03-22 22:30:14;1;46
2026-03-22 22:30:14;5;93
2026-03-22 22:30:14;14;58
2026-03-22 22:30:14;2;92
2026-03-22 22:30:14;20;96
2026-03-22 22:30:14;11;92
2026-03-22 22:30:14;13;10
2026-03-22 22:30:14;9;81
2026-03-22 22:30:14;12;25
2026-03-22 22:30:14;30;96
2026-03-22 22:30:14;2;44
2026-03-22 22:30:14;29;30
2026-03-22 22:30:14;5;54
2026-03-22 22:30:14;8;57
2026-03-22 22:30:14;19;22
2026-03-22 22:30:14;11;23
2026-03-22 22:30:14;3;85
2026-03-22 22:30:14;24;90
2026-03-22 22:30:14;7;84
2026-03-22 22:30:14;14;61
2026-03-22 22:30:14;9;97
2026-03-22 22:30:14;17;69
2026-03-22 22:30:14;20;47
2026-03-22 22:30:14;3;74
2026-03-22 22:30:14;8;83
2026-03-22 22:30:14;4;88
2026-03-22 22:30:14;10;88
2026-03-22 22:30:14;0;77
2026-03-22 22:30:14;25;44
2026-03-22 22:30:14;3;92
2026-03-22 22:30:14;29;12
2026-03-22 22:30:14;7;99
2026-03-22 22:30:14;30;67
2026-03-22 22:30:14;7;53
2026-03-22 22:30:14;1;15
2026-03-22 22:30:14;23;59
2026-03-22 22:30:14;15;50
2026-03-22 22:30:14;23;31
2026-03-22 22:30:14;8;75
2026-03-22 22:30:14;3;53
2026-03-22 22:30:14;27;39
2026-03-22 22:30:14;16;64
2026-03-22 22:30:14;30;22
2026-03-22 22:30:14;19;91
2026-03-22 22:30:14;0;97
2026-03-22 22:30:14;28;50
2026-03-22 22:30:14;13;62
2026-03-22 22:30:14;28;78
2026-03-22 22:30:14;21;59
2026-03-22 22:30:14;7;89
2026-03-22 22:30:14;10;88
2026-03-22 22:30:14;15;30
2026-03-22 22:30:14;26;52
2026-03-22 22:30:14;28;22
2026-03-22 22:30:14;21;59
2026-03-22 22:30:14;20;28
2026-03-22 22:30:14;29;81
2026-03-22 22:30:14;26;15
2026-03-22 22:30:14;20;10
2026-03-22 22:30:14;6;44
2026-03-22 22:30:14;24;28
2026-03-22 22:30:14;11;27
2026-03-22 22:30:14;11;22
2026-03-22 22:30:14;3;25
2026-03-22 22:30:14;21;22
2026-03-22 22:30:14;19;43
2026-03-22 22:30:14;8;83
2026-03-22 22:30:14;4;92
2026-03-22 22:30:14;4;47
2026-03-22 22:30:14;12;57
2026-03-22 22:30:14;6;87
2026-03-22 22:30:14;11;38
2026-03-22 22:30:14;8;81
2026-03-22 22:30:14;27;92
2026-03-22 22:30:14;11;37
2026-03-22 22:30:14;28;96
2026-03-22 22:30:14;2;66
2026-03-22 22:30:14;20;70
2026-03-22 22:30:14;27;92
2026-03-22 22:30:14;14;13
2026-03-22 22:30:14;30;86
2026-03-22 22:30:14;20;94
2026-03-22 22:30:14;30;26
2026-03-22 22:30:14;25;10
2026-03-22 22:30:14;12;22
2026-03-22 22:30:14;24;57
2026-03-22 22:30:14;12;46
2026-03-22 22:30:14;21;95
2026-03-22 22:30:14;12;84
2026-03-22 22:30:14;2;81
2026-03-22 22:30:14;23;78
2026-03-22 22:30:14;6;55
2026-03-22 22:30:14;5;80
2026-03-22 22:30:14;13;45
2026-03-22 22:30:14;8;95
2026-03-22 22:30:14;11;34
2026-03-22 22:30:14;29;16
2026-03-22 22:30:14;19;66
2026-03-22 22:30:14;13;53
2026-03-22 22:30:14;8;37
2026-03-22 22:30:14;27;97
2026-03-22 22:30:14;25;65
2026-03-22 22:30:14;13;54
2026-03-22 22:30:14;9;53
2026-03-22 22:30:14;25;80
2026-03-22 22:30:14;16;70
2026-03-22 22:30:14;13;74
2026-03-22 22:30:14;12;26
2026-03-22 22:30:14;12;86
2026-03-22 22:30:14;15;20
2026-03-22 22:30:14;16;91
2026-03-22 22:30:14;14;53
2026-03-22 22:30:14;9;66
2026-03-22 22:30:14;24;11
2026-03-22 22:30:14;21;48
2026-03-22 22:30:14;12;72
2026-03-22 22:30:14;30;99
2026-03-22 22:30:14;16;58
2026-03-22 22:30:14;0;38
2026-03-22 22:30:14;6;84
2026-03-22 22:30:14;20;36
2026-03-22 22:30:14;12;24
2026-03-22 22:30:14;6;18
2026-03-22 22:30:14;20;29
2026-03-22 22:30:14;7;96
2026-03-22 22:30:14;23;14
2026-03-22 22:30:14;7;28
2026-03-22 22:30:14;13;94
2026-03-22 22:30:14;9;16
2026-03-22 22:30:14;29;83
2026-03-22 22:30:14;30;53
2026-03-22 22:30:14;9;88
2026-03-22 22:30:14;1;20
2026-03-22 22:30:14;21;58
2026-03-22 22:30:14;26;83
2026-03-22 22:30:14;2;55
2026-03-22 22:30:14;11;33
2026-03-22 22:30:14;6;24
2026-03-22 22:30:14;26;93
2026-03-22 22:30:14;26;45
2026-03-22 22:30:14;12;71
2026-03-22 22:30:14;4;59
2026-03-22 22:30:14;10;85
2026-03-22 22:30:14;10;86
2026-03-22 22:30:14;8;59
2026-03-22 22:30:14;20;88
2026-03-22 22:30:14;24;44
2026-03-22 22:30:14;20;79
2026-03-22 22:30:14;2;48
2026-03-22 22:30:14;30;44
2026-03-22 22:30:14;30;51
2026-03-22 22:30:14;22;73
2026-03-22 22:30:14;2;19
2026-03-22 22:30:14;3;58
2026-03-22 22:30:14;12;96
2026-03-22 22:30:14;7;20
2026-03-22 22:30:14;1;61
2026-03-22 22:30:14;16;32
2026-03-22 22:30:14;20;18
